ax,ay,az,gx,gy,gz
-3,-6,-2,-2,1,2
-2,-2,-5,-1,2,3
-7,-6,-2,0,-5,3
-3,-8,-2,-1,8,3
-4,-4,-1,-3,0,5
-2,-7,0,-1,0,1
-8,-4,-4,-2,2,1
-2,-6,2,-1,1,1
0,-4,-3,7,-5,-1
2,15,0,-37,-44,155
13,-40,-3,18,-98,-209
20,-27,3,20,-170,-218
120,-1,19,97,-277,-373
134,-69,-19,-80,-221,-99
52,16,-8,-47,-76,387
127,-11,10,55,-42,408
109,-1,20,113,-178,725
89,-33,-23,4,-37,429
40,-6,-41,220,336,547
59,38,33,188,15,270
98,57,-45,155,-288,165
113,-44,19,143,-137,-132
9,90,24,-313,-552,184
33,23,-19,24,-400,33
109,-39,-51,-217,-391,-175
103,96,23,-58,-179,-85
96,-14,68,66,-924,-473
130,-71,-37,579,-1546,-828
137,88,-36,-28,-458,-916
237,40,-9,-359,-433,-711
126,66,-147,-397,407,-297
188,49,114,-205,865,-106
140,49,-26,176,181,282
221,-67,24,29,13,-33
224,-64,-96,283,629,-117
135,16,-28,549,1233,99
123,3,40,-127,1200,186
57,-2,97,-189,-63,-78
46,-26,-27,-30,534,-497
92,-157,143,-207,-195,-346
91,84,-35,24,-784,31
108,-4,-11,1003,-141,165
-16,88,104,-773,406,397
-14,120,-123,240,-250,501
1,-17,-24,-302,315,597
67,26,86,356,1000,228
-49,8,-111,867,-590,364
5,10,-14,-463,610,11
88,148,43,-686,586,616
101,-71,120,739,-440,213
-154,86,-128,735,588,94
-51,104,82,-677,478,248
0,49,11,-738,410,265
11,9,-42,-510,89,215
-27,-1,-26,-202,-72,-44
-15,-28,14,-237,-61,-85
-7,40,45,-493,29,-242
-43,-21,1,459,-54,87
-25,-36,25,-236,36,38
-6,7,1,229,-190,-23
-13,-32,-4,-173,-65,82
-11,-20,-7,95,-115,-132
-4,2,-22,489,-82,9
-1,13,-26,-67,66,8
-20,31,56,679,6,363
0,6,-19,-248,-66,309
-6,32,-19,234,-40,341
9,-6,-46,79,160,250
-16,48,21,-140,-196,74
-18,38,17,-1081,-107,467
5,-53,-9,-74,247,972
-20,-42,48,-1384,-192,829
13,-101,22,-318,-952,808
65,-104,-20,-450,-1148,860
124,-139,-73,52,-639,486
97,-65,-81,-1378,34,219
75,-189,98,-547,-19,835
135,-231,-32,-134,-668,328
133,-198,-215,-1947,1778,-430
0,-143,144,2244,959,-215
50,-116,50,461,-1344,78
115,-116,-74,-412,-967,57
124,-128,-23,-309,123,37
98,-99,129,860,-645,290
147,-170,-62,2096,-131,228
145,-13,-51,1632,-169,-7
147,-6,11,183,-320,4
179,-2,-57,-24,-332,11
172,-4,-5,-4,98,2
163,-7,31,3,79,1
175,1,-22,-3,-160,-3
177,-11,-11,-244,-132,-52
172,-27,-3,13,302,1
163,-18,6,-323,5,-121
167,-47,20,-135,-252,-99
179,-34,-1,208,-194,57
186,-22,-64,-279,206,29
164,-64,2,-125,312,-12
154,-46,3,108,136,-74
149,-21,-36,143,570,79
121,-51,-31,330,1173,126
48,-17,4,379,1480,-91
-15,20,11,442,1490,-61
-41,12,-87,1039,1707,61
-160,80,-77,1364,-1244,-149
-356,134,-24,-256,-268,-34
-475,42,-102,-376,-1165,-319
-669,33,-61,-1031,-291,-325
-883,111,-89,-686,192,-59
-985,-74,-117,-828,-1443,69
-1146,-5,-190,-366,-691,-329
-1289,-39,-269,-570,-1046,-308
-1430,-69,-345,-622,-621,-47
-1596,-138,-305,-961,-748,-95
-1757,-158,-427,-999,-73,-185
-1896,-197,-561,-869,-241,-467
-2058,-207,-697,-1128,198,-761
-2257,-234,-726,-528,527,-226
2252,-251,-853,-132,463,139
2102,-249,-1030,590,395,430
1925,-166,-1207,1464,2059,1276
1716,-152,-1278,373,932,57
1577,-178,-1409,21,101,128
1485,-96,-1654,648,-127,598
1352,-100,-1765,497,213,500
1261,-35,-1969,587,-19,568
1142,-132,-2035,287,-378,292
1100,7,2331,275,140,217
959,56,2227,883,1022,1119
876,-35,2081,382,443,419
826,40,1869,52,-651,-359
774,33,1729,-25,-1049,-184
760,69,1481,-289,-808,-425
705,131,1337,-107,194,380
654,-2,1244,487,-264,556
651,0,1082,244,-1232,461
605,95,936,-111,-1791,-254
594,195,805,139,-2252,659
646,61,668,28,2234,630
622,89,617,-7,2309,148
611,127,549,86,1886,-79
614,133,473,31,1370,0
598,89,465,-55,1005,-141
623,120,377,-23,579,-330
623,133,374,2,149,-247
628,120,339,-22,83,134
620,125,345,19,145,367
620,123,337,-15,241,428
624,152,317,-29,245,220
628,136,312,-4,330,231
618,156,317,-21,341,194
615,182,312,-17,19,137
626,166,304,20,-363,280
626,178,297,8,62,-13
624,179,307,-14,43,-230
624,173,315,8,-259,-155
623,160,322,16,-202,-8
623,158,332,44,-257,17
610,194,360,119,-459,213
619,267,380,152,-1036,526
626,220,425,1,-821,1645
623,172,509,68,-1210,667
630,226,539,-45,2263,-961
617,240,661,-63,-2151,-281
617,260,722,-119,2215,-345
688,297,743,-74,-2292,255
661,177,921,9,-2021,193
688,154,1060,-182,2052,-996
620,241,1096,-307,1616,-886
578,197,1221,-39,1939,360
710,165,1265,-41,-1805,667
703,187,1434,-92,-1700,438
729,218,1489,187,2313,654
750,225,1591,-2,1955,377
785,247,1714,-95,1229,0
828,291,1858,-421,764,158
890,242,1997,116,703,511
956,243,2177,-70,4,-11
1040,281,2307,-311,372,-86
1064,309,-2208,274,937,440
1210,281,-2117,-73,1125,560
1251,320,-1935,378,1307,938
1334,312,-1784,-143,119,61
1467,323,-1678,-415,-875,-254
1595,346,-1537,22,-7,281
1714,287,-1328,-316,-695,0
1877,317,-1177,-202,-1167,-541
2056,316,-1079,-718,-172,-471
2186,265,-882,-267,-537,-152
-2311,248,-775,-105,-483,-33
-2140,257,-697,-150,-4,-54
-1981,235,-594,-66,439,-25
-1854,234,-421,-178,347,-88
-1692,227,-263,-180,-1147,-125
-1426,232,-379,193,-1128,14
-1208,243,-357,376,469,65
-1109,249,-188,163,2149,20
-1013,251,-156,-73,2128,-39
-904,234,-125,-121,2194,-94
-825,235,-64,126,-2070,1
-720,230,-7,-35,791,-28
-556,218,27,100,401,-98
-336,196,-115,95,853,-680
-253,292,-97,1838,-2296,-695
-146,114,-167,-1159,-1258,481
-125,15,-73,102,368,-161
-221,104,152,1,-199,-19
-122,64,-16,80,-1888,492
-43,35,-121,38,-67,321
-110,55,54,9,818,6
-120,68,55,-1,-369,12
-83,72,-21,-12,-372,1
-85,67,19,17,-271,-12
-67,56,33,18,-267,-51
-43,80,-37,7,-436,-56
-22,61,-53,19,-217,-19
-45,81,37,35,244,100
-47,70,-5,28,255,-1
-51,62,13,-7,-201,-10
-36,82,-1,20,-231,-85
-22,82,-20,21,-222,-78
-11,88,-41,2,-219,-46
-12,65,34,-7,-238,-60
-1,77,10,-6,-134,-19
5,80,-37,22,49,-52
-5,71,-8,-43,239,-74
-6,87,-54,25,640,-20
-71,60,44,67,1173,174
-106,70,23,8,641,-85
-113,66,-56,-23,989,-270
-178,84,-52,-124,1958,-252
-270,75,-54,-86,-2243,-197
-368,61,-23,-100,-2323,-214
-473,64,2,-143,2215,80
-551,60,-9,-137,1924,145
-602,21,-37,-155,1080,-5
-657,41,-86,-196,1491,-201
-713,31,-124,-333,1831,-99
-792,28,-108,-204,1750,83
-862,-24,-135,-272,2187,-11
-961,-3,-139,-253,-2209,-191
-1060,-17,-195,-240,-1943,-156
-1173,-19,-212,-680,-1800,-4
-1265,-40,-299,-399,-1984,-14
-1382,-53,-299,-441,-1757,141
-1509,-102,-270,-344,-1965,8
-1588,-115,-397,-263,-1668,-101
-1714,-124,-390,-522,-2022,-372
-1796,-121,-581,-540,-1148,-115
-1976,-157,-450,-649,-1045,116
-2072,-166,-581,-46,-1988,23
-2151,-165,-701,62,-1737,-84
-2270,-144,-735,176,-1234,133
2325,-147,-854,191,-1666,205
2200,-165,-872,87,-1397,57
2120,-101,-1003,440,-1387,213
1994,-84,-1015,677,-1823,520
1916,-78,-1120,611,-1955,488
1849,-38,-1243,979,-1646,706
1771,-3,-1332,213,-1835,-6
1680,0,-1446,27,-1114,22
1568,-7,-1512,27,-1011,94
1480,-8,-1632,-86,-1077,81
1393,-10,-1793,165,-608,1
1275,35,-1919,408,-9,198
1173,73,-2048,715,-211,726
1099,45,-2184,75,-703,232
1025,72,-2302,-52,-1417,23
988,97,2156,136,-1168,24
908,132,2064,291,-895,329
869,118,1883,426,-713,508
796,120,1808,241,-533,199
747,117,1701,111,-1443,11
717,190,1541,112,-2301,4
729,156,1417,454,2157,545
718,181,1285,108,-2269,316
666,195,1225,-38,-1932,135
646,205,1146,41,-2266,176
648,177,1016,-7,2266,-77
676,190,905,35,-2084,60
604,220,871,5,2323,51
615,237,745,43,2085,424
632,230,645,81,2071,760
627,240,569,16,2057,474
617,257,520,63,2059,285
615,267,469,48,1364,-50
617,265,400,-120,385,-632
626,258,361,-27,305,-220
630,246,347,-68,466,10
624,250,332,-42,574,298
630,247,322,12,-49,100
629,262,306,-6,193,11
632,272,284,-16,566,98
620,261,314,-16,267,-14
636,265,280,20,-135,-14
627,259,285,15,-92,-130
630,255,287,7,-172,-160
631,262,300,17,-97,-131
623,245,329,-12,-664,-102
639,247,308,22,-306,-7
620,243,359,35,-228,-9
628,252,357,200,-1038,-100
626,228,410,87,-554,268
616,243,451,-24,-798,-1
620,196,496,54,-1533,-466
613,220,582,117,-1928,-774
605,245,652,-53,2236,-73
630,190,724,-21,2210,-12
645,188,800,-107,2179,-15
637,168,963,65,2286,-86
652,185,1058,-95,1838,-48
654,188,1189,64,1439,-187
685,188,1315,-10,1154,-60
734,98,1452,-39,599,-627
771,161,1571,-69,1312,-486
805,169,1669,95,1847,-307
815,110,1895,51,1945,211
847,190,2025,-33,663,127
948,141,2097,-493,352,528
1028,126,2265,-34,281,441
1089,108,-2234,-597,490,-230
1171,132,-2092,-900,518,-460
1270,103,-1980,-695,845,-209
1333,51,-1808,-329,965,-198
1413,26,-1636,-254,698,-501
1536,40,-1541,-455,-197,-718
1660,-33,-1367,-757,-414,-682
1835,-71,-1338,-590,193,-790
1929,-44,-1153,-291,1302,-183
2019,-103,-972,-239,581,-19
2175,-92,-957,-208,185,-30
2317,-119,-831,-170,819,22
-2238,-127,-789,-151,1858,55
-2149,-121,-699,-81,1943,3
-2061,-152,-575,-573,1054,-101
-1926,-154,-498,-1046,137,-500
-1765,-192,-458,-1098,956,-500
-1634,-223,-368,-340,1174,-189
-1493,-232,-305,20,867,6
-1336,-106,-171,-710,-1293,1286
-1115,-68,-181,2082,-889,501
-872,13,-261,-104,1428,-79
-804,0,-93,-45,-2204,-18
-709,1,28,-99,1082,-47
-529,2,-84,-116,934,-85
-363,-16,-156,-136,1925,-83
-258,-19,-158,-102,2237,-60
-195,-18,-41,-111,-1891,-46
-126,-27,9,-117,-2265,-36
-42,-160,30,1616,-1717,-46
34,-199,60,-643,1815,29
155,-139,-170,-2154,-1879,-126
209,-129,-94,74,-980,-7
220,-41,66,824,18,-81
201,-76,70,-31,-15,4
229,-68,-66,-29,-478,-12
244,-70,-51,3,-205,3
239,-69,-5,7,172,7
231,-78,37,12,-60,-3
241,-72,33,-30,-504,-2
275,-67,-54,20,-303,-13
275,-67,-73,21,507,14
226,-68,30,1,557,16
212,-70,25,8,503,16
209,-69,-59,21,478,-1
162,-69,-4,8,1148,9
98,-77,10,-121,2007,53
35,-70,-26,3,1382,-2
-19,-68,5,20,1078,-8
-75,-65,-11,-78,1570,-50
-171,-72,6,91,-1871,66
-261,-61,-81,103,-1967,57
-394,-58,-33,-254,-1761,-41
-492,-77,-89,-209,-2007,46
-597,-103,-108,-217,-1867,55
-744,-109,-3,-248,-2058,-150
-828,-91,-170,-206,-1444,-187
-967,-123,-117,-102,-1383,45
-1096,-155,-243,-495,-416,-182
-1265,-146,-193,-369,-1321,-241
-1408,-124,-328,4,-453,-55
-1554,-130,-393,992,-327,555
-1738,-101,-436,162,-289,235
-1897,-130,-504,-615,-380,-505
-2086,-115,-456,-74,-484,-75
-2165,-109,-674,4,-1240,63
-2275,-69,-785,778,-1103,344
2297,-95,-806,326,-1826,-8
2228,-102,-1027,-34,-1081,-279
2086,-81,-1081,-304,-570,-589
1913,-113,-1107,-31,318,40
1785,-98,-1271,81,-65,42
