time,x,y,z
17:09:52.238 ->,1,10,-8196
17:09:52.371 ->,-12,-4,-8199
17:09:52.504 ->,-3,-4,-8186
17:09:52.604 ->,1,-5,-8207
17:09:52.736 ->,6,-14,-8197
17:09:52.869 ->,-3,1,-8194
17:09:53.002 ->,-5,-2,-8176
17:09:53.134 ->,-12,6,-8183
17:09:53.267 ->,-6,-10,-8178
17:09:53.400 ->,-11,-4,-8188
17:09:53.533 ->,-7,0,-8187
17:09:53.665 ->,-9,1,-8202
17:09:53.798 ->,-8,-9,-8199
17:09:53.931 ->,-16,0,-8172
17:09:54.030 ->,13,0,-8195
17:09:54.163 ->,16,8,-8213
17:09:54.296 ->,5,17,-8189
17:09:54.429 ->,-8,-20,-8195
17:09:54.562 ->,-6,-1,-8195
17:09:54.694 ->,-11,26,-8183
17:09:54.827 ->,-16,-11,-8197
17:09:54.960 ->,11,4,-8191
17:09:55.092 ->,1,10,-8183
17:09:55.225 ->,2,-2,-8211
17:09:55.325 ->,2,-17,-8200
17:09:55.457 ->,-20,-15,-8178
17:09:55.590 ->,-9,-3,-8196
17:09:55.723 ->,-1,3,-8176
17:09:55.855 ->,43,1131,-8091
17:09:55.988 ->,-184,353,-8155
17:09:56.121 ->,-22,156,-8181
17:09:56.254 ->,-6,174,-8181
17:09:56.387 ->,-117,302,-8163
17:09:56.519 ->,-154,409,-8146
17:09:56.652 ->,31,-92,-8198
17:09:56.785 ->,-122,-102,-8191
17:09:56.918 ->,-47,-233,-8212
17:09:57.050 ->,231,13,-8197
17:09:57.150 ->,-132,-461,-8242
17:09:57.283 ->,-56,216,-8148
17:09:57.416 ->,-93,205,-8174
17:09:57.581 ->,48,125,-8200
17:09:57.681 ->,67,305,-8174
17:09:57.813 ->,-37,-273,-8232
17:09:57.946 ->,-160,-166,-8195
17:09:58.079 ->,-244,-277,-8182
17:09:58.212 ->,404,508,-8147
17:09:58.345 ->,-128,-288,-8203
17:09:58.477 ->,-53,147,-8157
17:09:58.577 ->,-122,-678,-8252
17:09:58.743 ->,-58,-386,-8241
17:09:58.875 ->,0,-107,-8194
17:09:58.985 ->,33,-295,-8225
17:09:59.152 ->,-14,-35,-8182
17:09:59.251 ->,-88,-32,-8187
