time,w,x,y,z
17:27:33.479 -> quat,1,0,0,0
17:27:33.644 -> quat,1,0,0,0
17:27:33.744 -> quat,1,0.01,0,0
17:27:33.877 -> quat,1,0.01,0,0
17:27:34.010 -> quat,1,0.01,0,0
17:27:34.142 -> quat,1,0.01,0,0
17:27:34.275 -> quat,1,0.01,0,0
17:27:34.408 -> quat,1,0.01,0,0
17:27:34.540 -> quat,1,0.01,0,0
17:27:34.673 -> quat,1,0.01,0,-0.01
17:27:34.805 -> quat,1,0.01,0,-0.01
17:27:34.938 -> quat,1,0,0,-0.01
17:27:35.071 -> quat,1,0,0,-0.01
17:27:35.203 -> quat,1,-0.01,-0.01,0.01
17:27:35.336 -> quat,1,-0.01,-0.02,0.06
17:27:35.469 -> quat,0.99,0.05,-0.03,0.09
17:27:35.601 -> quat,0.99,0.05,-0.05,0.1
17:27:35.734 -> quat,0.99,0.04,-0.07,0.1
17:27:35.867 -> quat,0.99,0.05,-0.09,0.12
17:27:36.000 -> quat,0.98,0.05,-0.11,0.13
17:27:36.132 -> quat,0.98,0.06,-0.12,0.13
17:27:36.265 -> quat,0.98,0.05,-0.13,0.13
17:27:36.398 -> quat,0.98,0.05,-0.14,0.13
17:27:36.531 -> quat,0.98,0.05,-0.14,0.13
17:27:36.664 -> quat,0.98,0.05,-0.15,0.13
17:27:36.796 -> quat,0.98,0.05,-0.15,0.12
17:27:36.896 -> quat,0.98,0.06,-0.16,0.12
17:27:37.062 -> quat,0.98,0.06,-0.17,0.13
17:27:37.161 -> quat,0.98,0.07,-0.17,0.12
17:27:37.327 -> quat,0.97,0.09,-0.17,0.12
17:27:37.460 -> quat,0.97,0.11,-0.16,0.12
17:27:37.592 -> quat,0.97,0.12,-0.17,0.13
17:27:37.725 -> quat,0.96,0.12,-0.19,0.14
17:27:37.825 -> quat,0.96,0.12,-0.21,0.16
17:27:37.957 -> quat,0.95,0.11,-0.22,0.18
17:27:38.090 -> quat,0.96,0.1,-0.21,0.17
17:27:38.223 -> quat,0.97,0.08,-0.18,0.16
17:27:38.356 -> quat,0.96,0.09,-0.2,0.16
17:27:38.488 -> quat,0.96,0.1,-0.19,0.16
17:27:38.621 -> quat,0.97,0.11,-0.17,0.15
17:27:38.754 -> quat,0.97,0.11,-0.15,0.18
17:27:38.887 -> quat,0.96,0.11,-0.15,0.2
17:27:39.019 -> quat,0.97,0.09,-0.11,0.19
17:27:39.152 -> quat,0.98,0.09,-0.07,0.15
17:27:39.285 -> quat,0.98,0.12,-0.06,0.13
17:27:39.418 -> quat,0.98,0.14,-0.07,0.07
17:27:39.550 -> quat,0.98,0.17,-0.04,0.02
17:27:39.683 -> quat,0.98,0.2,-0.01,-0.03
17:27:39.816 -> quat,0.98,0.21,0.05,-0.03
17:27:39.949 -> quat,0.96,0.25,0.08,-0.05
17:27:40.081 -> quat,0.96,0.24,0.09,-0.12
17:27:40.230 -> quat,0.95,0.25,0.1,-0.16
17:27:40.330 -> quat,0.95,0.22,0.08,-0.21
17:27:40.462 -> quat,0.96,0.19,0.07,-0.21
17:27:40.595 -> quat,0.96,0.18,0.02,-0.23
17:27:40.728 -> quat,0.96,0.14,-0.06,-0.24
17:27:40.860 -> quat,0.96,0.11,-0.07,-0.24
17:27:40.993 -> quat,0.96,0.08,-0.09,-0.24
17:27:41.125 -> quat,0.97,0.03,-0.07,-0.23
17:27:41.258 -> quat,0.96,0.04,-0.09,-0.25
17:27:41.391 -> quat,0.96,0.03,-0.1,-0.25
17:27:41.524 -> quat,0.96,0.01,-0.11,-0.26
17:27:41.656 -> quat,0.95,0,-0.12,-0.27
17:27:41.789 -> quat,0.96,-0.01,-0.12,-0.27
17:27:41.922 -> quat,0.96,-0.03,-0.12,-0.26
17:27:42.055 -> quat,0.96,-0.03,-0.14,-0.24
17:27:42.187 -> quat,0.96,-0.02,-0.15,-0.23
17:27:42.320 -> quat,0.96,-0.01,-0.16,-0.24
17:27:42.453 -> quat,0.96,-0.02,-0.17,-0.22
17:27:42.585 -> quat,0.95,-0.02,-0.14,-0.26
17:27:42.718 -> quat,0.97,0,-0.1,-0.22
17:27:42.851 -> quat,0.98,0,-0.05,-0.17
17:27:42.984 -> quat,0.98,0.03,-0.02,-0.2
17:27:43.116 -> quat,0.98,0.06,0.05,-0.16
17:27:43.249 -> quat,0.97,0.09,0.16,-0.13
17:27:43.381 -> quat,0.95,0.14,0.24,-0.15
17:27:43.514 -> quat,0.9,0.14,0.33,-0.24
17:27:43.647 -> quat,0.86,0.16,0.43,-0.22
17:27:43.779 -> quat,0.83,0.13,0.52,-0.14
17:27:43.912 -> quat,0.77,0.11,0.62,-0.14
17:27:44.045 -> quat,0.7,0.12,0.69,-0.14
17:27:44.177 -> quat,0.62,0.17,0.76,-0.1
17:27:44.310 -> quat,0.55,0.16,0.81,-0.13
17:27:44.442 -> quat,0.49,0.17,0.85,-0.1
17:27:44.575 -> quat,0.42,0.2,0.88,-0.02
17:27:44.708 -> quat,0.4,0.21,0.89,-0.03
17:27:44.840 -> quat,0.38,0.21,0.9,-0.04
17:27:44.973 -> quat,0.36,0.22,0.9,-0.06
17:27:45.106 -> quat,0.37,0.24,0.9,-0.07
17:27:45.239 -> quat,0.37,0.24,0.9,-0.07
17:27:45.372 -> quat,0.37,0.23,0.9,-0.07
17:27:45.505 -> quat,0.38,0.24,0.89,-0.08
17:27:45.637 -> quat,0.41,0.24,0.88,-0.09
